sampleId	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated	Sample
INDIV192_HUKAMAKO_1631_Wet2014	B. ailuri	6535	0.4777611561	Raw	FP	INDIV192
INDIV57_SENGELI_1102_Dry2013	B. ailuri	11228	0.5144051287	Raw	FP	INDIV57
INDIV53_SENGELI_1094_Dry2013	B. ailuri	4681	0.4191972931	Raw	FP	INDIV53
INDIV54_SENGELI_1096_Dry2013	B. ailuri	7297	0.4432892252	Raw	FP	INDIV54
INDIV162_HUKAMAKO_1558_Wet2014	B. ailuri	5091	0.5089460899	Raw	FP	INDIV162
INDIV191_SENGELI_1555_Wet2014	B. schroederi	22164	0.484853124	Raw	FP	INDIV191
SAMPLE1640_SENGELI_1640_Dry2014	B. ailuri	31200	0.452770667	Raw	FP	SAMPLE1640
SAMPLE1650_HUKAMAKO_1650_Dry2014	B. ailuri	23367	0.4769706074	Raw	FP	SAMPLE1650
SAMPLE1651_HUKAMAKO_1651_Dry2014	B. ailuri	35028	0.4586236864	Raw	FP	SAMPLE1651
INDIV93_HUKAMAKO_1562_Wet2014	B. ailuri	8235	0.4294018891	Raw	FP	INDIV93
INDIV187_HUKAMAKO_1561_Wet2014	B. ailuri	9330	0.4781902272	Raw	FP	INDIV187
INDIV65_SENGELI_1118_Dry2013	B. ailuri	2111	0.4976658129	Raw	FP	INDIV65
INDIV364_SENGELI_1124_Dry2013	B. ailuri	2885	0.5097468807	Raw	FP	INDIV364
INDIV200_SENGELI_1546_Wet2014	B. ailuri	3211	0.4402717399	Raw	FP	INDIV200
SAMPLE1660_SENGELI_1660_Dry2014	B. ailuri	29253	0.4561107034	Raw	FP	SAMPLE1660
INDIV58_SENGELI_1543_Wet2014	B. ailuri	9578	0.4783176383	Raw	FP	INDIV58
SAMPLE1662_SENGELI_1662_Dry2014	B. ailuri	37916	0.4386035543	Raw	FP	SAMPLE1662
INDIV181_SENGELI_1541_Wet2014	B. ailuri	7487	0.4967943379	Raw	FP	INDIV181
INDIV85_SENGELI_1551_Wet2014	B. ailuri	5922	0.410793172	Raw	FP	INDIV85
INDIV66_SENGELI_1548_Wet2014	B. ailuri	3503	0.4264708447	Raw	FP	INDIV66
INDIV84_SENGELI_1156_Dry2013	B. ailuri	3758	0.4902623907	Raw	FP	INDIV84
INDIV85_SENGELI_1158_Dry2013	B. ailuri	5010	0.5158824351	Raw	FP	INDIV85
INDIV26_MWAMUDU_1040_Dry2013	B. ailuri	6030	0.582967943	Raw	FP	INDIV26
INDIV89_SENGELI_1166_Dry2013	B. ailuri	13958	0.5069865651	Raw	FP	INDIV89
INDIV90_SENGELI_1168_Dry2013	B. ailuri	7785	0.5068859303	Raw	FP	INDIV90
INDIV81_SENGELI_1150_Dry2013	B. ailuri	9309	0.4615931094	Raw	FP	INDIV81
INDIV180_SENGELI_1540_Wet2014	B. ailuri	10787	0.4309823446	Raw	FP	INDIV180
INDIV93_HUKAMAKO_1531_Wet2014	B. ailuri	16826	0.4575758193	Raw	FP	INDIV93
INDIV158_HUKAMAKO_1528_Wet2014	B. ailuri	34892	0.4545432076	Raw	FP	INDIV158
INDIV162_HUKAMAKO_1526_Wet2014	B. ailuri	17386	0.4528649489	Raw	FP	INDIV162
INDIV197_HUKAMAKO_1525_Wet2014	B. ailuri	35917	0.454505505	Raw	FP	INDIV197
INDIV57_SENGELI_1539_Wet2014	B. ailuri	8499	0.4810305156	Raw	FP	INDIV57
INDIV87_SENGELI_1538_Wet2014	B. ailuri	8911	0.4458977832	Raw	FP	INDIV87
INDIV97_HUKAMAKO_1188_Dry2013	B. ailuri	12068	0.487685607	Raw	FP	INDIV97
INDIV82_HUKAMAKO_1194_Dry2013	B. ailuri	3783	0.4760701871	Raw	FP	INDIV82
INDIV93_HUKAMAKO_1180_Dry2013	B. ailuri	10357	0.4837113524	Raw	FP	INDIV93
INDIV95_HUKAMAKO_1524_Wet2014	B. ailuri	5320	0.5431642908	Raw	FP	INDIV95
INDIV188_SENGELI_1514_Wet2014	B. ailuri	4784	0.5288808242	Raw	FP	INDIV188
INDIV85_SENGELI_1513_Wet2014	B. ailuri	13067	0.4679642065	Raw	FP	INDIV85
INDIV187_HUKAMAKO_1523_Wet2014	B. ailuri	10828	0.4822505628	Raw	FP	INDIV187
INDIV186_HUKAMAKO_1522_Wet2014	B. ailuri	16254	0.4980428316	Raw	FP	INDIV186
INDIV70_SENGELI_1519_Wet2014	B. ailuri	5478	0.4413245137	Raw	FP	INDIV70
INDIV108_HUKAMAKO_1212_Dry2013	B. ailuri	2920	0.525985135	Raw	FP	INDIV108
INDIV100_HUKAMAKO_1196_Dry2013	B. ailuri	7247	0.4590302222	Raw	FP	INDIV100
INDIV101_HUKAMAKO_1198_Dry2013	B. ailuri	3757	0.5179868991	Raw	FP	INDIV101
INDIV84_SENGELI_1512_Wet2014	B. ailuri	5880	0.4522610484	Raw	FP	INDIV84
INDIV181_SENGELI_1507_Wet2014	B. ailuri	9794	0.470521116	Raw	FP	INDIV181
INDIV57_SENGELI_1506_Wet2014	B. ailuri	9304	0.4735671872	Raw	FP	INDIV57
INDIV180_SENGELI_1504_Wet2014	B. ailuri	9510	0.4507698457	Raw	FP	INDIV180
INDIV258_MSAFIRI_1818_Dry2014	B. ailuri	8295	0.5108727455	Raw	FP	INDIV258
INDIV259_MSAFIRI_1819_Dry2014	B. ailuri	12921	0.4515896167	Raw	FP	INDIV259
INDIV204_SAITOTI_1703_Dry2014	B. ailuri	18683	0.4776290501	Raw	FP	INDIV204
INDIV205_SAITOTI_1704_Dry2014	B. ailuri	4257	0.3643133159	Raw	FP	INDIV205
INDIV262_MSAFIRI_1822_Dry2014	B. ailuri	15866	0.4616742457	Raw	FP	INDIV262
INDIV254_MSAFIRI_1814_Dry2014	B. ailuri	15074	0.504955524	Raw	FP	INDIV254
INDIV263_MSAFIRI_1823_Dry2014	B. ailuri	16122	0.4782607245	Raw	FP	INDIV263
INDIV207_SAITOTI_1706_Dry2014	B. ailuri	46681	0.5260475563	Raw	FP	INDIV207
INDIV208_SAITOTI_1707_Dry2014	B. ailuri	21606	0.4023209809	Raw	FP	INDIV208
INDIV255_MSAFIRI_1815_Dry2014	B. ailuri	7892	0.4352962329	Raw	FP	INDIV255
INDIV256_MSAFIRI_1816_Dry2014	B. ailuri	10312	0.4579416106	Raw	FP	INDIV256
INDIV257_MSAFIRI_1817_Dry2014	B. ailuri	9688	0.424959692	Raw	FP	INDIV257
INDIV310_GIDAMILANDA_1938_Dry2014	B. ailuri	12609	0.5456956098	Raw	FP	INDIV310
